Symbol,Date,Open,High,Low,Close,Volume
UNICY.OB,02-Jul-2021,8.04,8.18,8.04,8.07,136500
UNIF.OB,02-Jul-2021,9.81,9.9,9.81,9.9,1200
UNIR.OB,02-Jul-2021,1.14,1.14,1.14,1.14,200
UNLYF.OB,02-Jul-2021,58.4,59.2624,58.4,59.2624,900
UNQL.OB,02-Jul-2021,0.0751,0.118,0.0741,0.09,8216300
UNRG.OB,02-Jul-2021,0.042,0.042,0.042,0.042,3200
UNTC.OB,02-Jul-2021,15.76,16.8,15.76,16.8,5800
UNVC.OB,02-Jul-2021,0.089,0.089,0.064,0.0798,1376700
UOLGY.OB,02-Jul-2021,22.02,22.02,21.46,21.46,1700
UOMO.OB,02-Jul-2021,0.0033,0.0033,0.0033,0.0033,6200
UOVEY.OB,02-Jul-2021,38.435,38.61,38.31,38.44,23200
UPCO.OB,02-Jul-2021,0.0039,0.0039,0.0038,0.0038,29600
