Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.17,0.07,3.333%,98480743.00,Israel,,2564318,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.80,-0.0278,-0.104%,,United States,,402,,
PRK,Park National Corporation Common Stock,$124.88,0.74,0.596%,2040619623.00,United States,,26827,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.93,-0.01,-0.101%,142743750.00,United States,2020,35603,,
PTN,Palatin Technologies Inc. Common Stock,$0.6082,-0.0065,-1.057%,139916222.00,United States,,1621046,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$42.83,-0.32,-0.742%,142299805.00,United States,,21743,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.00,0.00,0.00%,,United States,,15,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.05,0.01,0.962%,39581241.00,United States,2015,206916,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.56,0.11,4.49%,15237007.00,United States,,21071,,
REI,Ring Energy Inc. Common Stock,$2.63,0.15,6.048%,261095714.00,United States,,2210501,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$46.55,2.34,5.293%,838901803.00,United States,,52379,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$13.69,0.43,3.243%,23111718.00,,2017,540678,Consumer Services,Real Estate Investment Trusts
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$5.92,-0.13,-2.149%,,,,3838,,
RLGT,Radiant Logistics Inc. Common Stock,$7.38,-0.06,-0.806%,369881718.00,United States,,553255,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$5.95,-0.66,-9.985%,30295276.00,,2018,1818864,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$11.98,0.74,6.584%,407369166.00,United States,,541873,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.45,0.10,0.394%,0.00,United States,2019,2234,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.18,0.09,1.768%,127263406.00,United States,2017,925571,Consumer Services,Real Estate Investment Trusts
SBEV,Splash Beverage Group Inc. Common Stock,$3.28,1.47,81.215%,,,,2230783,,
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.95,0.14,0.542%,0.00,United States,2019,1540,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$26.10,0.00,0.00%,0.00,United States,2020,6078,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8922,0.0335,3.901%,22985162.00,,2014,255771,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3770.99,38.80,1.04%,4377286001.00,United States,1996,828,,
